Account_number,PORTFOLIO,SSN,Phone No. ,City,State,Account Open Date,Loan_amount,Origination_fico_score,Current_fico_score,Current_outstanding
38673575,CREDIT CARD,640-29-9264,405-775-9884,Bromide,OK,2018-03-13,40169,732,779,1606.76
38673576,PERSONAL LOAN,375-37-8517,212-786-7533,Reading Center,NY,2019-06-23,187055,877,877,1870.55
38673577,PERSONAL LOAN,073-02-5563,385-775-0225,Ibapah,UT,2019-09-08,129073,875,881,16779.49
38673578,MORTGAGE,106-98-7919,216-984-8974,Wickliffe,OH,2020-11-20,428500,708,757,145690.0
38673579,CREDIT CARD,753-07-4655,217-307-8597,Forrest,IL,2018-06-20,71859,714,708,16527.57
38673580,MORTGAGE,770-02-0049,201-312-1614,Highland Lakes,NJ,2020-06-26,561395,812,861,134734.8
38673581,CREDIT CARD,090-02-6498,339-289-4655,Newton,MA,2020-06-07,31419,703,732,1885.1399999999999
38673582,PERSONAL LOAN,390-33-0765,218-314-7370,Minneapolis,MN,2021-08-24,154338,768,764,27780.84
38673583,CREDIT CARD,276-17-0083,209-252-3832,Pico Rivera,CA,2021-04-19,27526,854,860,3303.12
38673584,MORTGAGE,677-22-7228,307-872-6444,Casper,WY,2018-10-20,584738,878,911,175421.4
38673585,MORTGAGE,149-23-6087,479-493-2345,Van Buren,AR,2019-01-19,469197,702,722,145451.07
38673586,MORTGAGE,211-84-1802,319-658-2317,Moville,IA,2021-08-24,619386,810,853,284917.56
38673587,CREDIT CARD,556-99-2038,339-922-2190,Pembroke,MA,2018-02-05,97890,803,812,25451.4
38673588,CREDIT CARD,387-33-8460,231-482-6750,Walloon Lake,MI,2021-08-24,27941,848,871,10617.58
38673589,CREDIT CARD,154-23-9959,314-613-6146,O Fallon,MO,2018-09-14,42361,803,817,5083.32
38673590,PERSONAL LOAN,233-57-1697,219-545-4790,Milroy,IN,2021-04-01,89913,655,674,18881.73
38673591,PERSONAL LOAN,668-48-6539,314-754-2773,Otterville,MO,2018-02-21,187829,886,929,67618.44
38673592,MORTGAGE,010-94-7929,239-885-9760,Pensacola,FL,2019-09-25,948080,786,789,189616.0
38673593,PERSONAL LOAN,454-99-5775,218-497-1411,Minneapolis,MN,2019-06-19,189741,870,906,60717.12
38673594,MORTGAGE,607-87-9402,210-831-8268,Crockett,TX,2021-04-16,882338,739,733,344111.82
38673595,MORTGAGE,518-89-4139,208-508-7181,Ahsahka,ID,2019-07-28,549238,789,813,203218.06
38673596,MORTGAGE,308-37-0601,210-249-5201,Bellaire,TX,2020-08-05,114087,719,766,19394.79
38673597,PERSONAL LOAN,342-11-8228,218-518-5989,Frontenac,MN,2018-10-25,187333,840,885,76806.53
38673598,MORTGAGE,243-99-7149,212-896-8726,Norfolk,NY,2019-04-05,549435,685,677,241751.4
38673599,CREDIT CARD,102-02-4922,479-771-9518,Russellville,AR,2018-08-18,84229,655,684,42114.5
38673600,CREDIT CARD,409-99-7222,308-566-5297,Snyder,NE,2021-03-22,82090,798,815,16418.0
38673601,CREDIT CARD,311-35-4041,503-976-0235,Frenchglen,OR,2021-08-22,79732,699,707,18338.36
38673602,MORTGAGE,570-99-5449,205-544-4643,Gardendale,AL,2020-11-12,662650,650,646,112650.50000000001
38673603,MORTGAGE,236-55-3500,210-955-6384,Sabinal,TX,2021-08-24,958562,750,800,450524.13999999996
38673604,PERSONAL LOAN,080-02-9321,201-354-4776,Whitehouse,NJ,2019-01-07,41884,855,897,837.6800000000001
38673605,MORTGAGE,553-99-6968,423-994-6997,Andersonville,TN,2021-04-17,711566,776,769,348667.33999999997
38673606,MORTGAGE,272-17-8097,217-607-6992,Equality,IL,2020-02-05,979671,688,723,313494.72000000003
38673607,MORTGAGE,281-15-4021,210-395-6881,Duncanville,TX,2018-10-27,529660,675,706,116525.2
38673608,CREDIT CARD,491-29-4208,215-355-0865,Shamokin Dam,PA,2019-10-17,80873,869,898,4852.38
38673609,CREDIT CARD,189-86-2797,406-222-1629,Proctor,MT,2020-12-24,70168,854,896,24558.8
38673610,MORTGAGE,534-71-7168,270-939-9251,Shelbyville,KY,2018-11-09,993224,750,796,288034.95999999996
38673611,MORTGAGE,452-99-5159,262-453-2611,Poy Sippi,WI,2020-10-27,481646,790,829,33715.22
38673612,CREDIT CARD,413-99-9973,219-237-3290,Riley,IN,2020-12-19,31921,697,717,14364.45
38673613,MORTGAGE,304-37-4344,405-232-1982,Marland,OK,2021-08-24,189756,793,820,36053.64
38673614,CREDIT CARD,551-99-8018,304-619-7398,Maysville,WV,2021-08-16,54689,848,843,16953.59
38673615,MORTGAGE,251-99-5124,228-916-7675,Laurel,MS,2021-03-14,819997,810,806,163999.40000000002
